Index,Rank,Title,Director,Year,Runtime (Minutes),Rating,Votes,Revenue (Millions),Metascore
62,63,The Girl on the Train,Tate Taylor,2016,112,6.5,102177,75.31,48.0
63,64,Fifty Shades of Grey,Sam Taylor-Johnson,2015,125,4.1,244474,166.15,46.0
64,65,The Prestige,Christopher Nolan,2006,130,8.5,913152,53.08,66.0
65,66,Kingsman: The Secret Service,Matthew Vaughn,2014,129,7.7,440209,128.25,58.0
66,67,Patriots Day,Peter Berg,2016,133,7.4,39784,31.86,69.0
67,68,Mad Max: Fury Road,George Miller,2015,120,8.1,632842,153.63,90.0
68,69,Wakefield,Robin Swicord,2016,106,7.5,291,0.01,61.0
69,70,Deepwater Horizon,Peter Berg,2016,107,7.2,89849,61.28,68.0
70,71,The Promise,Terry George,2016,133,5.9,149791,0.0,49.0
71,72,Allied,Robert Zemeckis,2016,124,7.1,78079,40.07,60.0
72,73,A Monster Calls,J.A. Bayona,2016,108,7.5,39134,3.73,76.0
73,74,Collateral Beauty,David Frankel,2016,97,6.8,43977,30.98,23.0
74,75,Zootopia,Byron Howard,2016,108,8.1,296853,341.26,78.0
75,76,Pirates of the Caribbean: At World's End,Gore Verbinski,2007,169,7.1,498821,309.4,50.0
76,77,The Avengers,Joss Whedon,2012,143,8.1,1045588,623.28,69.0
77,78,Inglourious Basterds,Quentin Tarantino,2009,153,8.3,959065,120.52,69.0
78,79,Pirates of the Caribbean: Dead Man's Chest,Gore Verbinski,2006,151,7.3,552027,423.03,53.0
79,80,Ghostbusters,Paul Feig,2016,116,5.3,147717,128.34,60.0
80,81,Inception,Christopher Nolan,2010,148,8.8,1583625,292.57,74.0
81,82,Captain Fantastic,Matt Ross,2016,118,7.9,105081,5.88,72.0
82,83,The Wolf of Wall Street,Martin Scorsese,2013,180,8.2,865134,116.87,75.0
83,84,Gone Girl,David Fincher,2014,149,8.1,636243,167.74,79.0
84,85,Furious Seven,James Wan,2015,137,7.2,301249,350.03,67.0
85,86,Jurassic World,Colin Trevorrow,2015,124,7.0,455169,652.18,59.0
86,87,Live by Night,Ben Affleck,2016,129,6.4,27869,10.38,49.0
87,88,Avatar,James Cameron,2009,162,7.8,935408,760.51,83.0
88,89,The Hateful Eight,Quentin Tarantino,2015,187,7.8,341170,54.12,68.0
89,90,The Accountant,Gavin O'Connor,2016,128,7.4,162122,86.2,51.0
90,91,Prisoners,Denis Villeneuve,2013,153,8.1,431185,60.96,74.0
91,92,Warcraft,Duncan Jones,2016,123,7.0,187547,47.17,32.0
92,93,The Help,Tate Taylor,2011,146,8.1,342429,169.71,62.0
93,94,War Dogs,Todd Phillips,2016,114,7.1,106463,43.02,57.0
94,95,Avengers: Age of Ultron,Joss Whedon,2015,141,7.4,516895,458.99,66.0
95,96,The Nice Guys,Shane Black,2016,116,7.4,175067,36.25,70.0
96,97,Kimi no na wa,Makoto Shinkai,2016,106,8.6,34110,4.68,79.0
97,98,The Void,Jeremy Gillespie,2016,90,5.8,9247,0.15,62.0
98,99,Personal Shopper,Olivier Assayas,2016,105,6.3,10181,1.29,77.0
99,100,The Departed,Martin Scorsese,2006,151,8.5,937414,132.37,85.0
100,101,Legend,Brian Helgeland,2015,132,7.0,108836,1.87,55.0
101,102,Thor,Kenneth Branagh,2011,115,7.0,570814,181.02,57.0
102,103,The Martian,Ridley Scott,2015,144,8.0,556097,228.43,80.0
103,104,Contratiempo,Oriol Paulo,2016,106,7.9,72040,0.0,0.0
104,105,The Man from U.N.C.L.E.,Guy Ritchie,2015,116,7.3,202973,45.43,56.0
105,106,Hell or High Water,David Mackenzie,2016,102,7.7,115546,26.86,88.0
106,107,The Comedian,Taylor Hackford,2016,120,5.4,1954,1.66,40.0
107,108,The Legend of Tarzan,David Yates,2016,110,6.3,117590,126.59,44.0
108,109,All We Had,Katie Holmes,2016,105,5.8,10040,48.0,0.0
109,110,Ex Machina,Alex Garland,2014,108,7.7,339797,25.44,78.0
110,111,The Belko Experiment,Greg McLean,2016,89,6.3,3712,10.16,44.0
111,112,12 Years a Slave,Steve McQueen,2013,134,8.1,486338,56.67,96.0
112,113,The Bad Batch,Ana Lily Amirpour,2016,118,6.1,5120,65.0,0.0
113,114,300,Zack Snyder,2006,117,7.7,637104,210.59,52.0
114,115,Harry Potter and the Deathly Hallows: Part 2,David Yates,2011,130,8.1,590595,380.96,87.0
115,116,Office Christmas Party,Josh Gordon,2016,105,5.8,30761,54.73,42.0
116,117,The Neon Demon,Nicolas Winding Refn,2016,118,6.2,50359,1.33,51.0
117,118,Dangal,Nitesh Tiwari,2016,161,8.8,48969,11.15,0.0
118,119,10 Cloverfield Lane,Dan Trachtenberg,2016,104,7.2,192968,71.9,76.0
119,120,Finding Dory,Andrew Stanton,2016,97,7.4,157026,486.29,77.0
120,121,Miss Peregrine's Home for Peculiar Children,Tim Burton,2016,127,6.7,101058,87.24,57.0
121,122,Divergent,Neil Burger,2014,139,6.7,362093,150.83,48.0
122,123,Mike and Dave Need Wedding Dates,Jake Szymanski,2016,98,6.0,53183,46.01,51.0
123,124,Boyka: Undisputed IV,Todor Chapkanov,2016,86,7.4,104280,0.0,0.0
124,125,The Dark Knight Rises,Christopher Nolan,2012,164,8.5,1222645,448.13,78.0
125,126,The Jungle Book,Jon Favreau,2016,106,7.5,198243,364.0,77.0
126,127,Transformers: Age of Extinction,Michael Bay,2014,165,5.7,255483,245.43,32.0
127,128,Nerve,Henry Joost,2016,96,6.6,69651,38.56,58.0
128,129,Mamma Mia!,Phyllida Lloyd,2008,108,6.4,153481,143.7,51.0
129,130,The Revenant,Alejandro González Iñárritu,2015,156,8.0,499424,183.64,76.0
130,131,Fences,Denzel Washington,2016,139,7.3,50953,57.64,79.0
131,132,Into the Woods,Rob Marshall,2014,125,6.0,109756,128.0,69.0
132,133,The Shallows,Jaume Collet-Serra,2016,86,6.4,78328,55.12,59.0
133,134,Whiplash,Damien Chazelle,2014,107,8.5,477276,13.09,88.0
134,135,Furious 6,Justin Lin,2013,130,7.1,318051,238.67,61.0
135,136,The Place Beyond the Pines,Derek Cianfrance,2012,140,7.3,200090,21.38,68.0
136,137,No Country for Old Men,Ethan Coen,2007,122,8.1,660286,74.27,91.0
137,138,The Great Gatsby,Baz Luhrmann,2013,143,7.3,386102,144.81,55.0
138,139,Shutter Island,Martin Scorsese,2010,138,8.1,855604,127.97,63.0
139,140,Brimstone,Martin Koolhoven,2016,148,7.1,130040,44.0,0.0
140,141,Star Trek,J.J. Abrams,2009,127,8.0,526324,257.7,82.0
141,142,Diary of a Wimpy Kid,Thor Freudenthal,2010,94,6.2,34184,64.0,56.0
142,143,The Big Short,Adam McKay,2015,130,7.8,246360,70.24,81.0
143,144,Room,Lenny Abrahamson,2015,118,8.2,224132,14.68,86.0
144,145,Django Unchained,Quentin Tarantino,2012,165,8.4,1039115,162.8,81.0
145,146,Ah-ga-ssi,Chan-wook Park,2016,144,8.1,33418,2.01,84.0
146,147,The Edge of Seventeen,Kelly Fremon Craig,2016,104,7.4,47694,14.26,77.0
147,148,Watchmen,Zack Snyder,2009,162,7.6,410249,107.5,56.0
148,149,Superbad,Greg Mottola,2007,113,7.6,442082,121.46,76.0
149,150,Inferno,Ron Howard,2016,121,6.2,97623,34.26,42.0
150,151,The BFG,Steven Spielberg,2016,117,6.4,50853,55.47,66.0
151,152,The Hunger Games,Gary Ross,2012,142,7.2,735604,408.0,68.0
152,153,White Girl,Elizabeth Wood,2016,88,5.8,4299,0.2,65.0
153,154,Sicario,Denis Villeneuve,2015,121,7.6,243230,46.88,82.0
154,155,Twin Peaks: The Missing Pieces,David Lynch,2014,91,8.1,19730,0.0,0.0
155,156,Aliens vs Predator - Requiem,Colin Strause,2007,94,4.7,97618,41.8,29.0
156,157,Pacific Rim,Guillermo del Toro,2013,131,7.0,400519,101.79,64.0
157,158,"Crazy Stupid Love.",Glenn Ficarra,2011,118,7.4,396714,84.24,68.0
158,159,Scott Pilgrim vs. the World,Edgar Wright,2010,112,7.5,291457,31.49,69.0
159,160,Hot Fuzz,Edgar Wright,2007,121,7.9,373244,23.62,81.0
160,161,Mine,Fabio Guaglione,2016,106,6.0,59260,40.0,0.0
161,162,Free Fire,Ben Wheatley,2016,90,7.0,6946,1.8,63.0
162,163,X-Men: Days of Future Past,Bryan Singer,2014,132,8.0,552298,233.91,74.0
163,164,Jack Reacher: Never Go Back,Edward Zwick,2016,118,6.1,78043,58.4,47.0
164,165,Casino Royale,Martin Campbell,2006,144,8.0,495106,167.01,80.0
165,166,Twilight,Catherine Hardwicke,2008,122,5.2,361449,191.45,56.0
166,167,Now You See Me 2,Jon M. Chu,2016,129,6.5,156567,65.03,46.0
167,168,Woman in Gold,Simon Curtis,2015,109,7.3,39723,33.31,51.0
168,169,13 Hours,Michael Bay,2016,144,7.3,76935,52.82,48.0
169,170,Spectre,Sam Mendes,2015,148,6.8,308981,200.07,60.0
170,171,Nightcrawler,Dan Gilroy,2014,118,7.9,332476,32.28,76.0
171,172,Kubo and the Two Strings,Travis Knight,2016,101,7.9,72778,48.02,84.0
172,173,Beyond the Gates,Jackson Stewart,2016,84,5.2,21270,59.0,0.0
173,174,Her,Spike Jonze,2013,126,8.0,390531,25.56,90.0
174,175,Frozen,Chris Buck,2013,102,7.5,451894,400.74,74.0
175,176,Tomorrowland,Brad Bird,2015,130,6.5,143069,93.42,60.0
176,177,Dawn of the Planet of the Apes,Matt Reeves,2014,130,7.6,337777,208.54,79.0
177,178,Tropic Thunder,Ben Stiller,2008,107,7.0,321442,110.42,71.0
178,179,The Conjuring 2,James Wan,2016,134,7.4,137203,102.46,65.0
179,180,Ant-Man,Peyton Reed,2015,117,7.3,368912,180.19,64.0
180,181,Bridget Jones's Baby,Sharon Maguire,2016,118,6.7,43086,24.09,59.0
181,182,The VVitch: A New-England Folktale,Robert Eggers,2015,92,6.8,101781,25.14,83.0
182,183,Cinderella,Kenneth Branagh,2015,105,7.0,117018,201.15,67.0
183,184,Realive,Mateo Gil,2016,112,5.9,11760,0.0,0.0
184,185,Forushande,Asghar Farhadi,2016,124,8.0,22389,3.4,85.0
185,186,Love,Gaspar Noé,2015,135,6.0,240030,51.0,0.0
186,187,Billy Lynn's Long Halftime Walk,Ang Lee,2016,113,6.3,11944,1.72,53.0
187,188,Crimson Peak,Guillermo del Toro,2015,119,6.6,97454,31.06,66.0
188,189,Drive,Nicolas Winding Refn,2011,100,7.8,461509,35.05,78.0
189,190,Trainwreck,Judd Apatow,2015,125,6.3,106364,110.01,75.0
190,191,The Light Between Oceans,Derek Cianfrance,2016,133,7.2,27382,12.53,60.0
191,192,Below Her Mouth,April Mullen,2016,94,5.6,14450,42.0,0.0
192,193,Spotlight,Tom McCarthy,2015,128,8.1,268282,44.99,93.0
193,194,Morgan,Luke Scott,2016,92,5.8,22107,3.91,48.0
194,195,Warrior,Gavin O'Connor,2011,140,8.2,355722,13.65,71.0
195,196,Captain America: The First Avenger,Joe Johnston,2011,124,6.9,547368,176.64,66.0
196,197,Hacker,Akan Satayev,2016,95,6.3,37990,0.0,0.0
197,198,Into the Wild,Sean Penn,2007,148,8.1,459304,18.35,73.0
198,199,The Imitation Game,Morten Tyldum,2014,114,8.1,532353,91.12,73.0
199,200,Central Intelligence,Rawson Marshall Thurber,2016,107,6.3,97082,127.38,52.0
200,201,Edge of Tomorrow,Doug Liman,2014,113,7.9,471815,100.19,71.0
201,202,A Cure for Wellness,Gore Verbinski,2016,146,6.5,12193,8.1,47.0
202,203,Snowden,Oliver Stone,2016,134,7.3,79855,21.48,58.0
203,204,Iron Man,Jon Favreau,2008,126,7.9,737719,318.3,79.0
204,205,Allegiant,Robert Schwentke,2016,120,5.7,70504,66.0,33.0
205,206,X: First Class,Matthew Vaughn,2011,132,7.8,550011,146.41,65.0
206,207,Raw (II),Julia Ducournau,2016,99,7.5,5435,0.51,81.0
207,208,Paterson,Jim Jarmusch,2016,118,7.5,26089,2.14,90.0
208,209,Bridesmaids,Paul Feig,2011,125,6.8,227912,169.08,75.0
209,210,The Girl with All the Gifts,Colm McCarthy,2016,111,6.7,237130,67.0,0.0
210,211,San Andreas,Brad Peyton,2015,114,6.1,161396,155.18,43.0
211,212,Spring Breakers,Harmony Korine,2012,94,5.3,114290,14.12,63.0
212,213,Transformers,Michael Bay,2007,144,7.1,531112,318.76,61.0
213,214,Old Boy,Spike Lee,2013,104,5.8,546790,49.0,0.0
214,215,Thor: The Dark World,Alan Taylor,2013,112,7.0,443584,206.36,54.0
215,216,Gods of Egypt,Alex Proyas,2016,126,5.5,73568,31.14,25.0
216,217,Captain America: The Winter Soldier,Anthony Russo,2014,136,7.8,542362,259.75,70.0
217,218,Monster Trucks,Chris Wedge,2016,104,5.7,7044,33.04,41.0
218,219,A Dark Song,Liam Gavin,2016,100,6.1,17030,67.0,0.0
219,220,Kick-Ass,Matthew Vaughn,2010,117,7.7,456749,48.04,66.0
220,221,Hardcore Henry,Ilya Naishuller,2015,96,6.7,61098,9.24,51.0
221,222,Cars,John Lasseter,2006,117,7.1,283445,244.05,73.0
222,223,It Follows,David Robert Mitchell,2014,100,6.9,136399,14.67,83.0
223,224,The Girl with the Dragon Tattoo,David Fincher,2011,158,7.8,348551,102.52,71.0
224,225,We're the Millers,Rawson Marshall Thurber,2013,110,7.0,334867,150.37,44.0
225,226,American Honey,Andrea Arnold,2016,163,7.0,19660,0.66,79.0
226,227,The Lobster,Yorgos Lanthimos,2015,119,7.1,121313,8.7,82.0
227,228,Predators,Nimród Antal,2010,107,6.4,179450,52.0,51.0
228,229,Maleficent,Robert Stromberg,2014,97,7.0,268877,241.41,56.0
229,230,Rupture,Steven Shainberg,2016,102,4.8,23820,35.0,0.0
230,231,Pan's Labyrinth,Guillermo del Toro,2006,118,8.2,498879,37.62,98.0
231,232,A Kind of Murder,Andy Goddard,2016,95,5.2,3305,0.0,50.0
232,233,Apocalypto,Mel Gibson,2006,139,7.8,247926,50.86,68.0
233,234,Mission: Impossible - Rogue Nation,Christopher McQuarrie,2015,131,7.4,257472,195.0,75.0
234,235,The Huntsman: Winter's War,Cedric Nicolas-Troyan,2016,114,6.1,66766,47.95,35.0
235,236,The Perks of Being a Wallflower,Stephen Chbosky,2012,102,8.0,377336,17.74,67.0
236,237,Jackie,Pablo Larraín,2016,100,6.8,41446,13.96,81.0
237,238,The Disappointments Room,D.J. Caruso,2016,85,3.9,4895,2.41,31.0
238,239,The Grand Budapest Hotel,Wes Anderson,2014,99,8.1,530881,59.07,88.0
239,240,The Host,Andrew Niccol,2013,125,5.9,96852,26.62,35.0
240,241,Fury,David Ayer,2014,134,7.6,332234,85.71,64.0
241,242,Inside Out,Pete Docter,2015,95,8.2,416689,356.45,94.0
242,243,Rock Dog,Ash Brannon,2016,90,5.8,1109,9.4,48.0
243,244,Terminator Genisys,Alan Taylor,2015,126,6.5,205365,89.73,38.0
244,245,Percy Jackson & the Olympians: The Lightning Thief,Chris Columbus,2010,118,5.9,148949,88.76,47.0
245,246,Les Misérables,Tom Hooper,2012,158,7.6,257426,148.78,63.0
246,247,Children of Men,Alfonso Cuarón,2006,109,7.9,382910,35.29,84.0
247,248,20th Century Women,Mike Mills,2016,119,7.4,14708,5.66,83.0
248,249,Spy,Paul Feig,2015,119,7.1,188017,110.82,75.0
249,250,The Intouchables,Olivier Nakache,2011,112,8.6,557965,13.18,57.0
250,251,Bonjour Anne,Eleanor Coppola,2016,92,4.9,178,0.32,50.0
251,252,Kynodontas,Yorgos Lanthimos,2009,94,7.3,50946,0.11,73.0
252,253,Straight Outta Compton,F. Gary Gray,2015,147,7.9,139831,161.03,72.0
253,254,The Amazing Spider-Man 2,Marc Webb,2014,142,6.7,342183,202.85,53.0
254,255,The Conjuring,James Wan,2013,112,7.5,330305,137.39,68.0
255,256,The Hangover,Todd Phillips,2009,100,7.8,611563,277.31,73.0
256,257,Battleship,Peter Berg,2012,131,5.8,210349,65.17,41.0
257,258,Rise of the Planet of the Apes,Rupert Wyatt,2011,105,7.6,422290,176.74,68.0
258,259,Lights Out,David F. Sandberg,2016,81,6.4,69823,67.24,58.0
259,260,Norman: The Moderate Rise and Tragic Fall of a New York Fixer,Joseph Cedar,2016,118,7.1,664,2.27,76.0
260,261,Birdman or (The Unexpected Virtue of Ignorance),Alejandro González Iñárritu,2014,119,7.8,440299,42.34,88.0
261,262,Black Swan,Darren Aronofsky,2010,108,8.0,581518,106.95,79.0
262,263,Dear White People,Justin Simien,2014,108,6.2,21715,4.4,79.0
263,264,Nymphomaniac: Vol. I,Lars von Trier,2013,117,7.0,90556,0.79,64.0
264,265,Teenage Mutant Ninja Turtles: Out of the Shadows,Dave Green,2016,112,6.0,59312,0.54,40.0
265,266,Knock Knock,Eli Roth,2015,99,4.9,53441,0.03,53.0
266,267,Dirty Grandpa,Dan Mazer,2016,102,6.0,75137,35.54,18.0
267,268,Cloud Atlas,Tom Tykwer,2012,172,7.5,298651,27.1,55.0
268,269,X-Men Origins: Wolverine,Gavin Hood,2009,107,6.7,388447,179.88,40.0
269,270,Satanic,Jeffrey G. Hunt,2016,85,3.7,23840,0.0,0.0
270,271,Skyfall,Sam Mendes,2012,143,7.8,547386,304.36,81.0
271,272,The Hobbit: An Unexpected Journey,Peter Jackson,2012,169,7.9,668651,303.0,58.0
272,273,21 Jump Street,Phil Lord,2012,110,7.2,432046,138.45,69.0
273,274,Sing Street,John Carney,2016,106,8.0,52144,3.23,79.0
274,275,Ballerina,Eric Summer,2016,89,6.8,47290,0.0,0.0
275,276,Oblivion,Joseph Kosinski,2013,124,7.0,410125,89.02,54.0
276,277,22 Jump Street,Phil Lord,2014,112,7.1,280110,191.62,71.0
277,278,Zodiac,David Fincher,2007,157,7.7,329683,33.05,78.0
278,279,Everybody Wants Some!!,Richard Linklater,2016,117,7.0,36312,3.37,83.0
279,280,Iron Man Three,Shane Black,2013,130,7.2,591023,408.99,62.0
280,281,Now You See Me,Louis Leterrier,2013,115,7.3,492324,117.7,50.0
281,282,Sherlock Holmes,Guy Ritchie,2009,128,7.6,501769,209.02,57.0
282,283,Death Proof,Quentin Tarantino,2007,113,7.1,2202360,0.0,0.0
283,284,The Danish Girl,Tom Hooper,2015,119,7.0,110773,12.71,66.0
284,285,Hercules,Brett Ratner,2014,98,6.0,122838,72.66,47.0
285,286,Sucker Punch,Zack Snyder,2011,110,6.1,204874,36.38,33.0
286,287,Keeping Up with the Joneses,Greg Mottola,2016,105,5.8,30405,14.9,34.0
287,288,Jupiter Ascending,Lana Wachowski,2015,127,5.3,150121,47.38,40.0
288,289,Masterminds,Jared Hess,2016,95,5.8,26508,17.36,47.0
289,290,Iris,Jalil Lespert,2016,99,6.1,7260,0.0,0.0
290,291,Busanhaeng,Sang-ho Yeon,2016,118,7.5,58782,2.13,72.0
291,292,Pitch Perfect,Jason Moore,2012,112,7.2,226631,65.0,66.0
292,293,Neighbors 2: Sorority Rising,Nicholas Stoller,2016,92,5.7,76327,55.29,58.0
293,294,The Exception,David Leveaux,2016,107,7.7,960,0.0,0.0
294,295,Man of Steel,Zack Snyder,2013,143,7.1,577010,291.02,55.0
295,296,The Choice,Ross Katz,2016,111,6.6,20514,18.71,26.0
296,297,Ice Age: Collision Course,Mike Thurmeier,2016,94,5.7,34523,64.06,34.0
297,298,The Devil Wears Prada,David Frankel,2006,109,6.8,302268,124.73,62.0
298,299,The Infiltrator,Brad Furman,2016,127,7.1,43929,15.43,66.0
299,300,There Will Be Blood,Paul Thomas Anderson,2007,158,8.1,400682,40.22,92.0
300,301,The Equalizer,Antoine Fuqua,2014,132,7.2,249425,101.53,57.0
301,302,Lone Survivor,Peter Berg,2013,121,7.5,218996,125.07,60.0
302,303,The Cabin in the Woods,Drew Goddard,2012,95,7.0,295554,42.04,72.0
303,304,The House Bunny,Fred Wolf,2008,97,5.5,67033,48.24,55.0
304,305,She's Out of My League,Jim Field Smith,2010,104,6.4,105619,31.58,46.0
305,306,Inherent Vice,Paul Thomas Anderson,2014,148,6.7,69509,8.09,81.0
306,307,Alice Through the Looking Glass,James Bobin,2016,113,6.2,57207,77.04,34.0
307,308,Vincent N Roxxy,Gary Michael Schultz,2016,110,5.5,4030,0.0,0.0
308,309,The Fast and the Furious: Tokyo Drift,Justin Lin,2006,104,6.0,193479,62.49,45.0
309,310,How to Be Single,Christian Ditter,2016,110,6.1,59886,46.81,51.0
310,311,The Blind Side,John Lee Hancock,2009,129,7.7,237221,255.95,53.0
311,312,La vie d'Adèle,Abdellatif Kechiche,2013,180,7.8,103150,2.2,88.0
312,313,The Babadook,Jennifer Kent,2014,93,6.8,132580,0.92,86.0
313,314,The Hobbit: The Battle of the Five Armies,Peter Jackson,2014,144,7.4,385598,255.11,59.0
314,315,Harry Potter and the Order of the Phoenix,David Yates,2007,138,7.5,385325,292.0,71.0
315,316,Snowpiercer,Bong Joon Ho,2013,126,7.0,199048,4.56,84.0
316,317,The 5th Wave,J Blakeson,2016,112,5.2,73093,34.91,33.0
317,318,The Stakelander,Dan Berk,2016,81,5.3,12630,0.0,0.0
318,319,The Visit,M. Night Shyamalan,2015,94,6.2,81429,65.07,55.0
319,320,Fast Five,Justin Lin,2011,131,7.3,300803,209.81,66.0
320,321,Step Up,Anne Fletcher,2006,104,6.5,95960,65.27,48.0
321,322,Lovesong,So Yong Kim,2016,84,6.4,616,0.01,74.0
322,323,RocknRolla,Guy Ritchie,2008,114,7.3,203096,5.69,53.0
323,324,In Time,Andrew Niccol,2011,109,6.7,319025,37.55,53.0
324,325,The Social Network,David Fincher,2010,120,7.7,510100,96.92,95.0
325,326,The Last Witch Hunter,Breck Eisner,2015,106,6.0,71149,27.36,34.0
326,327,Victor Frankenstein,Paul McGuigan,2015,110,6.0,37975,5.77,36.0
327,328,A Street Cat Named Bob,Roger Spottiswoode,2016,103,7.4,12643,0.04,54.0
328,329,Green Room,Jeremy Saulnier,2015,95,7.0,62885,3.22,79.0
329,330,Blackhat,Michael Mann,2015,133,5.4,43085,7.1,51.0
330,331,Storks,Nicholas Stoller,2016,87,6.9,34248,72.66,56.0
331,332,American Sniper,Clint Eastwood,2014,133,7.3,353305,350.12,72.0
332,333,Dallas Buyers Club,Jean-Marc Vallée,2013,117,8.0,352801,27.3,84.0
333,334,Lincoln,Steven Spielberg,2012,150,7.4,207497,182.2,86.0
334,335,Rush,Ron Howard,2013,123,8.1,339722,26.9,75.0
335,336,Before I Wake,Mike Flanagan,2016,97,6.1,182010,0.0,0.0
336,337,Silver Linings Playbook,David O. Russell,2012,122,7.8,564364,132.09,81.0
337,338,Tracktown,Alexi Pappas,2016,88,5.9,1150,64.0,0.0
